radius,thickness,gap_angle,shell_stiffness
2500,80,80,1746
2500,80,90,1366
2500,80,100,1106
2500,80,110,920
2500,80,120,728
2500,80,130,592
2500,80,140,492
2500,80,150,387
2500,80,160,311
2500,80,170,255
2500,80,180,196
2500,90,10,20790
2500,90,20,11751
2500,90,30,7278
2500,90,40,5249
2500,90,50,4085
2500,90,60,3063
2500,90,70,2421
2500,90,80,1985
2500,90,90,1555
2500,90,100,1260
2500,90,110,1049
2500,90,120,830
2500,90,130,674
2500,90,140,561
2500,90,150,440
2500,90,160,354
2500,90,170,290
2500,90,180,223
2500,100,10,22831
2500,100,20,12987
2500,100,30,8071
2500,100,40,5845
2500,100,50,4556
2500,100,60,3425
2500,100,70,2713
2500,100,80,2228
2500,100,90,1747
2500,100,100,1417
2500,100,110,1180
2500,100,120,934
2500,100,130,759
2500,100,140,631
2500,100,150,495
2500,100,160,398
2500,100,170,326
2500,100,180,250
2500,110,10,24814
2500,110,20,14205
2500,110,30,8865
2500,110,40,6435
2500,110,50,5025
2500,110,60,3788
2500,110,70,3007
2500,110,80,2472
2500,110,90,1941
2500,110,100,1576
2500,110,110,1313
2500,110,120,1040
2500,110,130,845
2500,110,140,702
2500,110,150,551
2500,110,160,443
2500,110,170,362
2500,110,180,278
2500,120,10,26738
2500,120,20,15385
2500,120,30,9653
2500,120,40,7022
2500,120,50,5495
2500,120,60,4151
2500,120,70,3300
2500,120,80,2717
2500,120,90,2137
2500,120,100,1736
2500,120,110,1447
2500,120,120,1147
2500,120,130,932
2500,120,140,774
2500,120,150,608
2500,120,160,488
2500,120,170,399
2500,120,180,306
2500,130,10,28571
2500,130,20,16584
2500,130,30,10428
2500,130,40,7610
2500,130,50,5963
2500,130,60,4513
2500,130,70,3595
2500,130,80,2962
2500,130,90,2333
2500,130,100,1898
2500,130,110,1582
2500,130,120,1254
2500,130,130,1020
2500,130,140,847
2500,130,150,665
2500,130,160,534
2500,130,170,437
2500,130,180,335
2500,140,10,30395
2500,140,20,17730
2500,140,30,11198
2500,140,40,8190
2500,140,50,6431
2500,140,60,4876
2500,140,70,3890
2500,140,80,3208
2500,140,90,2530
2500,140,100,2060
2500,140,110,1718
2500,140,120,1363
2500,140,130,1109
2500,140,140,921
2500,140,150,723
2500,140,160,580
2500,140,170,475
2500,140,180,364
2500,150,10,32154
2500,150,20,18904
2500,150,30,11976
2500,150,40,8772
2500,150,50,6892
2500,150,60,5236
2500,150,70,4184
2500,150,80,3453
2500,150,90,2726
2500,150,100,2222
2500,150,110,1854
2500,150,120,1471
2500,150,130,1198
2500,150,140,995
2500,150,150,781
2500,150,160,627
2500,150,170,512
2500,150,180,392
3000,10,10,2230
3000,10,20,1101
3000,10,30,599
3000,10,40,400
3000,10,50,299
3000,10,60,223
3000,10,70,181
3000,10,80,154
3000,10,90,128
3000,10,100,109
3000,10,110,95
3000,10,120,79
3000,10,130,66
3000,10,140,56
3000,10,150,45
3000,10,160,36
3000,10,170,29
3000,10,180,22
3000,20,10,4286
3000,20,20,2271
3000,20,30,1314
3000,20,40,898
3000,20,50,677
3000,20,60,498
3000,20,70,395
3000,20,80,330
3000,20,90,266
3000,20,100,223
3000,20,110,192
3000,20,120,158
3000,20,130,132
3000,20,140,112
3000,20,150,90
3000,20,160,73
3000,20,170,59
3000,20,180,45
3000,30,10,6254
3000,30,20,3382
3000,30,30,2006
3000,30,40,1394
3000,30,50,1061
3000,30,60,783
3000,30,70,618
3000,30,80,512
3000,30,90,409
3000,30,100,339
3000,30,110,289
3000,30,120,236
3000,30,130,196
3000,30,140,166
3000,30,150,132
3000,30,160,107
3000,30,170,88
3000,30,180,67
3000,40,10,8190
3000,40,20,4470
3000,40,30,2685
3000,40,40,1888
3000,40,50,1446
3000,40,60,1071
3000,40,70,845
3000,40,80,697
3000,40,90,554
3000,40,100,456
3000,40,110,387
3000,40,120,313
3000,40,130,259
3000,40,140,218
3000,40,150,173
3000,40,160,140
3000,40,170,115
3000,40,180,88
3000,50,10,10111
3000,50,20,5552
3000,50,30,3361
3000,50,40,2382
3000,50,50,1833
3000,50,60,1362
3000,50,70,1075
3000,50,80,885
3000,50,90,701
3000,50,100,575
3000,50,110,484
3000,50,120,390
3000,50,130,321
3000,50,140,269
3000,50,150,214
3000,50,160,172
3000,50,170,141
3000,50,180,108
3000,60,10,12005
3000,60,20,6627
3000,60,30,4037
3000,60,40,2878
3000,60,50,2221
3000,60,60,1655
3000,60,70,1308
3000,60,80,1076
3000,60,90,849
3000,60,100,694
3000,60,110,583
3000,60,120,467
3000,60,130,383
3000,60,140,321
3000,60,150,254
3000,60,160,205
3000,60,170,168
3000,60,180,129
3000,70,10,13870
3000,70,20,7692
3000,70,30,4713
3000,70,40,3374
3000,70,50,2610
3000,70,60,1950
3000,70,70,1542
3000,70,80,1267
3000,70,90,999
3000,70,100,815
3000,70,110,683
3000,70,120,546
3000,70,130,447
3000,70,140,373
3000,70,150,295
3000,70,160,237
3000,70,170,194
3000,70,180,149
3000,80,10,15699
3000,80,20,8749
3000,80,30,5385
3000,80,40,3870
3000,80,50,2999
3000,80,60,2246
3000,80,70,1778
3000,80,80,1461
3000,80,90,1150
3000,80,100,937
3000,80,110,784
3000,80,120,625
3000,80,130,511
3000,80,140,426
3000,80,150,336
3000,80,160,270
3000,80,170,221
3000,80,180,170
3000,90,10,17483
3000,90,20,9804
3000,90,30,6053
3000,90,40,4365
3000,90,50,3390
3000,90,60,2543
3000,90,70,2015
3000,90,80,1656
3000,90,90,1303
3000,90,100,1061
3000,90,110,887
3000,90,120,706
3000,90,130,576
3000,90,140,480
3000,90,150,378
3000,90,160,304
3000,90,170,249
3000,90,180,191
3000,100,10,19231
3000,100,20,10834
3000,100,30,6720
3000,100,40,4859
3000,100,50,3779
3000,100,60,2840
3000,100,70,2254
3000,100,80,1852
3000,100,90,1457
3000,100,100,1187
3000,100,110,990
3000,100,120,787
3000,100,130,642
3000,100,140,534
3000,100,150,421
3000,100,160,338
3000,100,170,277
3000,100,180,212
3000,110,10,20964
3000,110,20,11862
3000,110,30,7380
3000,110,40,5353
3000,110,50,4168
3000,110,60,3139
3000,110,70,2493
3000,110,80,2050
3000,110,90,1613
3000,110,100,1313
3000,110,110,1095
3000,110,120,870
3000,110,130,710
3000,110,140,590
3000,110,150,464
3000,110,160,373
3000,110,170,305
3000,110,180,234
3000,120,10,22624
3000,120,20,12887
3000,120,30,8039
3000,120,40,5845
3000,120,50,4558
3000,120,60,3438
3000,120,70,2734
3000,120,80,2248
3000,120,90,1770
3000,120,100,1442
3000,120,110,1202
3000,120,120,954
3000,120,130,778
3000,120,140,646
3000,120,150,508
3000,120,160,409
3000,120,170,334
3000,120,180,256
3000,130,10,24272
3000,130,20,13889
3000,130,30,8696
3000,130,40,6333
3000,130,50,4946
3000,130,60,3736
3000,130,70,2975
3000,130,80,2448
3000,130,90,1928
3000,130,100,1571
3000,130,110,1309
3000,130,120,1040
3000,130,130,847
3000,130,140,704
3000,130,150,553
3000,130,160,445
3000,130,170,363
3000,130,180,279
3000,140,10,25907
3000,140,20,14881
3000,140,30,9346
3000,140,40,6821
3000,140,50,5333
3000,140,60,4036
3000,140,70,3218
3000,140,80,2648
3000,140,90,2087
3000,140,100,1701
3000,140,110,1418
3000,140,120,1126
3000,140,130,917
3000,140,140,762
3000,140,150,598
3000,140,160,481
3000,140,170,393
3000,140,180,301
3000,150,10,27473
3000,150,20,15873
3000,150,30,10000
3000,150,40,7310
3000,150,50,5721
3000,150,60,4335
3000,150,70,3459
3000,150,80,2850
3000,150,90,2247
3000,150,100,1832
3000,150,110,1527
3000,150,120,1212
3000,150,130,988
3000,150,140,820
3000,150,150,644
3000,150,160,518
3000,150,170,423
3000,150,180,324
3500,10,10,1894
3500,10,20,925
3500,10,30,504
3500,10,40,342
3500,10,50,260
3500,10,60,200
3500,10,70,166
3500,10,80,143
3500,10,90,121
3500,10,100,104
3500,10,110,91
3500,10,120,75
3500,10,130,63
3500,10,140,53
3500,10,150,42
3500,10,160,33
3500,10,170,27
3500,10,180,20
3500,20,10,3664
3500,20,20,1928
3500,20,30,1113
3500,20,40,765
3500,20,50,582
3500,20,60,437
3500,20,70,353
3500,20,80,299
3500,20,90,246
3500,20,100,209
3500,20,110,181
3500,20,120,150
3500,20,130,126
3500,20,140,106
3500,20,150,85
3500,20,160,68
3500,20,170,55
3500,20,180,42
3500,30,10,5350
3500,30,20,2881
3500,30,30,1706
3500,30,40,1190
3500,30,50,911
3500,30,60,681
3500,30,70,546
3500,30,80,458
3500,30,90,372
3500,30,100,313
3500,30,110,269
3500,30,120,221
3500,30,130,185
3500,30,140,157
3500,30,150,125
